,"Three Months Ended.December 28, 2024","Three Months Ended.December 30, 2023",Three Months Ended.Change
Americas,"$ 52,648","$ 50,430",4 %
Europe,"33,861","30,397",11 %
Greater China,"18,513","20,819",(11)%
Japan,"8,987","7,767",16 %
Rest of Asia Pacific,"10,291","10,162",1 %
Total net sales,"$ 124,300","$ 119,575",4 %
