,"December 28, 2024","September 28, 2024"
"Gross property, plant and equipment","$ 120,615","$ 119,128"
Accumulated depreciation,"(74,546)","(73,448)"
"Total property, plant and equipment, net","$ 46,069","$ 45,680"
