,"Three Months Ended.December 28, 2024","Three Months Ended.December 30, 2023"
Research and development,"$ 8,268","$ 7,696"
Percentage of total net sales,7%,6%
"Selling, general and administrative","$ 7,175","$ 6,786"
Percentage of total net sales,6%,6%
Total operating expenses,"$ 15,443","$ 14,482"
Percentage of total net sales,12%,12%
